汕头,#genre#
汕头综合,http://192.168.3.1:4022/udp/239.253.43.45:5146
汕头经济生活,http://192.168.3.1:4022/udp/239.253.43.46:5146
汕头文旅体育,http://192.168.3.1:4022/udp/239.253.43.47:5146

央视,#genre#
CCTV-1综合,http://192.168.2.1:6777/udp/239.10.0.48:1025
CCTV-1综合,http://192.168.2.1:6777/udp/239.10.0.114:1025
CCTV-2财经,http://192.168.2.1:6777/udp/239.10.0.207:1025
CCTV-3综艺,http://192.168.2.1:6777/udp/239.10.0.101:1025
CCTV-4中文国际,http://192.168.2.1:6777/udp/239.10.0.245:1025
CCTV-4欧洲,http://192.168.2.1:6777/udp/239.11.0.101:1025
CCTV-4美洲,http://192.168.2.1:6777/udp/239.11.0.102:1025
CCTV-5体育,http://192.168.2.1:6777/udp/239.10.0.102:1025
CCTV-5+体育,http://192.168.2.1:6777/udp/239.10.0.213:1025
CCTV-6电影,http://192.168.2.1:6777/udp/239.10.0.103:1025
CCTV-7国防军事,http://192.168.2.1:6777/udp/239.10.0.208:1025
CCTV-8电视剧,http://192.168.2.1:6777/udp/239.10.0.104:1025
CCTV-9纪录,http://192.168.2.1:6777/udp/239.10.0.209:1025
CCTV-10科教,http://192.168.2.1:6777/udp/239.10.0.210:1025
CCTV-11戏曲,http://192.168.2.1:6777/udp/239.11.0.24:1025
CCTV-12社会与法,http://192.168.2.1:6777/udp/239.10.0.211:1025
CCTV-13新闻,http://192.168.2.1:6777/udp/239.10.0.198:1025
CCTV-14少儿,http://192.168.2.1:6777/udp/239.10.0.212:1025
CCTV-15音乐,http://192.168.2.1:6777/udp/239.11.0.25:1025
CCTV-16奥林匹克,http://192.168.2.1:6777/udp/239.11.0.126:1025
CCTV-16奥林匹克-4K,http://192.168.2.1:6777/udp/239.11.0.132:1025
CCTV-17农业农村,http://192.168.2.1:6777/udp/239.10.0.244:1025
CCTV兵器科技,http://192.168.2.1:6777/udp/239.11.0.57:1025
CCTV电视指南,http://192.168.2.1:6777/udp/239.11.0.58:1025
CCTV风云足球,http://192.168.2.1:6777/udp/239.11.0.59:1025
CCTV央视台球,http://192.168.2.1:6777/udp/239.11.0.60:1025
CCTV央视网球,http://192.168.2.1:6777/udp/239.11.0.61:1025
CCTV女性时尚,http://192.168.2.1:6777/udp/239.11.0.62:1025
CCTV世界地理,http://192.168.2.1:6777/udp/239.11.0.63:1025
CCTV怀旧剧场,http://192.168.2.1:6777/udp/239.11.0.64:1025
CCTV风云剧场,http://192.168.2.1:6777/udp/239.11.0.65:1025
CCTV文化精品,http://192.168.2.1:6777/udp/239.11.0.66:1025
CCTV第一剧场,http://192.168.2.1:6777/udp/239.11.0.67:1025
CCTV风云音乐,http://192.168.2.1:6777/udp/239.11.0.68:1025
CGTN英语,http://192.168.2.1:6777/udp/239.11.0.103:1025
CGTN纪录,http://192.168.2.1:6777/udp/239.11.0.104:1025
CGTN西语,http://192.168.2.1:6777/udp/239.11.0.105:1025
CGTN法语,http://192.168.2.1:6777/udp/239.11.0.106:1025
CGTN阿语,http://192.168.2.1:6777/udp/239.11.0.107:1025
CGTN俄语,http://192.168.2.1:6777/udp/239.11.0.108:1025

卫视,#genre#
湖南卫视,http://192.168.2.1:6777/udp/239.10.0.115:1025
湖南卫视,http://192.168.2.1:6777/udp/239.10.0.145:1025
湖南卫视,http://192.168.2.1:6777/udp/239.10.0.49:1025
浙江卫视,http://192.168.2.1:6777/udp/239.10.0.179:1025
浙江卫视,http://192.168.2.1:6777/udp/239.10.0.116:1025
浙江卫视,http://192.168.2.1:6777/udp/239.10.0.50:1025
江苏卫视,http://192.168.2.1:6777/udp/239.10.0.180:1025
江苏卫视,http://192.168.2.1:6777/udp/239.10.0.117:1025
江苏卫视,http://192.168.2.1:6777/udp/239.10.0.51:1025
东方卫视,http://192.168.2.1:6777/udp/239.10.0.183:1025
东方卫视,http://192.168.2.1:6777/udp/239.10.0.118:1025
安徽卫视,http://192.168.2.1:6777/udp/239.10.0.203:1025
安徽卫视,http://192.168.2.1:6777/udp/239.10.0.146:1025
北京卫视,http://192.168.2.1:6777/udp/239.10.0.131:1025
北京卫视,http://192.168.2.1:6777/udp/239.10.0.147:1025
江西卫视,http://192.168.2.1:6777/udp/239.10.0.148:1025
江西卫视,http://192.168.2.1:6777/udp/239.10.0.80:1025
深圳卫视,http://192.168.2.1:6777/udp/239.10.0.132:1025
深圳卫视,http://192.168.2.1:6777/udp/239.10.0.144:1025
深圳卫视,http://192.168.2.1:6777/udp/239.10.0.52:1025
河南卫视,http://192.168.2.1:6777/udp/239.10.0.154:1025
河南卫视,http://192.168.2.1:6777/udp/239.11.0.94:1025
云南卫视,http://192.168.2.1:6777/udp/239.11.0.171:1025
云南卫视,http://192.168.2.1:6777/udp/239.10.0.155:1025
陕西卫视,http://192.168.2.1:6777/udp/239.10.0.161:1025
山西卫视,http://192.168.2.1:6777/udp/239.10.0.162:1025
内蒙古卫视,http://192.168.2.1:6777/udp/239.10.0.163:1025
青海卫视,http://192.168.2.1:6777/udp/239.11.0.179:1025
青海卫视,http://192.168.2.1:6777/udp/239.10.0.164:1025
海南卫视,http://192.168.2.1:6777/udp/239.11.0.172:1025
海南卫视,http://192.168.2.1:6777/udp/239.10.0.165:1025
宁夏卫视,http://192.168.2.1:6777/udp/239.10.0.166:1025
西藏卫视,http://192.168.2.1:6777/udp/239.10.0.167:1025
新疆卫视,http://192.168.2.1:6777/udp/239.10.0.168:1025
甘肃卫视,http://192.168.2.1:6777/udp/239.11.0.175:1025
甘肃卫视,http://192.168.2.1:6777/udp/239.10.0.169:1025
兵团卫视,http://192.168.2.1:6777/udp/239.10.0.170:1025
厦门卫视,http://192.168.2.1:6777/udp/239.10.0.178:1025
三沙卫视,http://192.168.2.1:6777/udp/239.11.0.177:1025
三沙卫视,http://192.168.2.1:6777/udp/239.10.0.83:1025
吉林延边卫视,http://192.168.2.1:6777/udp/239.10.0.140:1025
大湾区卫视,http://192.168.2.1:6777/udp/239.11.0.78:1025
黑龙江卫视,http://192.168.2.1:6777/udp/239.10.0.133:1025
黑龙江卫视,http://192.168.2.1:6777/udp/239.10.0.53:1025
湖北卫视,http://192.168.2.1:6777/udp/239.10.0.134:1025
湖北卫视,http://192.168.2.1:6777/udp/239.10.0.54:1025
天津卫视,http://192.168.2.1:6777/udp/239.10.0.181:1025
天津卫视,http://192.168.2.1:6777/udp/239.10.0.55:1025
山东卫视,http://192.168.2.1:6777/udp/239.10.0.182:1025
山东卫视,http://192.168.2.1:6777/udp/239.10.0.56:1025
四川卫视,http://192.168.2.1:6777/udp/239.10.0.204:1025
四川卫视,http://192.168.2.1:6777/udp/239.10.0.60:1025
重庆卫视,http://192.168.2.1:6777/udp/239.10.0.205:1025
贵州卫视,http://192.168.2.1:6777/udp/239.10.0.222:1025
福建东南卫视,http://192.168.2.1:6777/udp/239.10.0.77:1025
河北卫视,http://192.168.2.1:6777/udp/239.10.0.79:1025
吉林卫视,http://192.168.2.1:6777/udp/239.10.0.81:1025
广西卫视,http://192.168.2.1:6777/udp/239.10.0.246:1025
辽宁卫视,http://192.168.2.1:6777/udp/239.10.0.185:1025
辽宁卫视,http://192.168.2.1:6777/udp/239.10.0.58:1025

广东,#genre#
广东珠江,http://192.168.2.1:6777/udp/239.10.0.63:1025
广东科教,http://192.168.2.1:6777/udp/239.10.0.46:1025
广东科教,http://192.168.2.1:6777/udp/239.10.0.112:1025
广东卫视,http://192.168.2.1:6777/udp/239.10.0.45:1025
广东卫视,http://192.168.2.1:6777/udp/239.10.0.111:1025
广东体育,http://192.168.2.1:6777/udp/239.10.0.47:1025
广东综艺-4K,http://192.168.2.1:6777/udp/239.10.0.64:1025
广东综艺-4K,http://192.168.2.1:6777/udp/239.10.0.74:1025
广东综艺-4K,http://192.168.2.1:6777/udp/239.10.0.75:1025
广东综艺-4K宽色域AVS2,http://192.168.2.1:6777/udp/239.10.0.76:1025
南国都市-4K,http://192.168.2.1:6777/udp/239.11.0.170:1025
大湾区卫视,http://192.168.2.1:6777/udp/239.11.0.78:1025
广东珠江,http://192.168.2.1:6777/udp/239.10.0.62:1025
广东新闻,http://192.168.2.1:6777/udp/239.10.0.199:1025
广东民生,http://192.168.2.1:6777/udp/239.11.0.80:1025
广东民生,http://192.168.2.1:6777/udp/239.10.0.123:1025
广东影视,http://192.168.2.1:6777/udp/239.11.0.79:1025
广东少儿,http://192.168.2.1:6777/udp/239.11.0.81:1025
广东体育,http://192.168.2.1:6777/udp/239.10.0.113:1025
广州综合,http://192.168.2.1:6777/udp/239.11.0.138:1025
广州新闻,http://192.168.2.1:6777/udp/239.11.0.139:1025
广州影视,http://192.168.2.1:6777/udp/239.11.0.140:1025
广州法治,http://192.168.2.1:6777/udp/239.11.0.141:1025
广州竞赛,http://192.168.2.1:6777/udp/239.11.0.142:1025
佛山综合,http://192.168.2.1:6777/udp/239.11.0.118:1025
佛山公共,http://192.168.2.1:6777/udp/239.11.0.114:1025
佛山影视,http://192.168.2.1:6777/udp/239.11.0.117:1025
佛山南海,http://192.168.2.1:6777/udp/239.11.0.115:1025
佛山顺德,http://192.168.2.1:6777/udp/239.11.0.116:1025
中山综合,http://192.168.2.1:6777/udp/239.11.0.122:1025
中山公共,http://192.168.2.1:6777/udp/239.11.0.123:1025
中山教育,http://192.168.2.1:6777/udp/239.11.0.124:1025
清远公共,http://192.168.2.1:6777/udp/239.11.0.75:1025
清远综合,http://192.168.2.1:6777/udp/239.11.0.74:1025
湛江公共,http://192.168.2.1:6777/udp/239.10.0.254:1025
湛江综合,http://192.168.2.1:6777/udp/239.10.0.253:1025
珠海一套,http://192.168.2.1:6777/udp/239.10.0.242:1025
珠海二套,http://192.168.2.1:6777/udp/239.10.0.65:1025
肇庆公共,http://192.168.2.1:6777/udp/239.11.0.54:1025
肇庆综合,http://192.168.2.1:6777/udp/239.11.0.53:1025
茂名公共,http://192.168.2.1:6777/udp/239.11.0.99:1025
茂名综合,http://192.168.2.1:6777/udp/239.10.0.238:1025
韶关公共,http://192.168.2.1:6777/udp/239.11.0.85:1025
韶关综合,http://192.168.2.1:6777/udp/239.11.0.84:1025
江门公共,http://192.168.2.1:6777/udp/239.10.0.139:1025
江门教育,http://192.168.2.1:6777/udp/239.10.0.152:1025
江门综合,http://192.168.2.1:6777/udp/239.10.0.219:1025
云浮综合,http://192.168.2.1:6777/udp/239.11.0.96:1025
云浮公共,http://192.168.2.1:6777/udp/239.11.0.97:1025
经济科教,http://192.168.2.1:6777/udp/239.10.0.201:1025
移动频道,http://192.168.2.1:6777/udp/239.10.0.143:1025
岭南戏曲,http://192.168.2.1:6777/udp/239.11.0.180:1025
岭南戏曲,http://192.168.2.1:6777/udp/239.10.0.125:1025
现代教育,http://192.168.2.1:6777/udp/239.11.0.181:1025
现代教育,http://192.168.2.1:6777/udp/239.10.0.138:1025

其他,#genre#
卡酷动画,http://192.168.2.1:6777/udp/239.10.0.172:1025
炫动卡通,http://192.168.2.1:6777/udp/239.10.0.174:1025
嘉佳卡通,http://192.168.2.1:6777/udp/239.10.0.200:1025
金鹰卡通,http://192.168.2.1:6777/udp/239.11.0.125:1025
CHC高清电影,http://192.168.2.1:6777/udp/239.11.0.129:1025
CBN每日影院,http://192.168.2.1:6777/udp/239.11.0.163:1025
CBN风尚生活,http://192.168.2.1:6777/udp/239.11.0.164:1025
CBN幸福剧场,http://192.168.2.1:6777/udp/239.11.0.165:1025
CBN幸福娱乐,http://192.168.2.1:6777/udp/239.11.0.166:1025
上海纪实,http://192.168.2.1:6777/udp/239.10.0.78:1025
北京纪实,http://192.168.2.1:6777/udp/239.10.0.184:1025
金鹰纪实,http://192.168.2.1:6777/udp/239.10.0.59:1025
金鹰纪实,http://192.168.2.1:6777/udp/239.10.0.206:1025
求索生活,http://192.168.2.1:6777/udp/239.10.0.86:1025
求索记录,http://192.168.2.1:6777/udp/239.11.0.128:1025
CETV-1,http://192.168.2.1:6777/udp/239.10.0.223:1025
CETV-2,http://192.168.2.1:6777/udp/239.11.0.35:1025
CETV-4,http://192.168.2.1:6777/udp/239.11.0.176:1025
CETV-4,http://192.168.2.1:6777/udp/239.11.0.36:1025
IPTV5+,http://192.168.2.1:6777/udp/239.10.0.218:1025
早期教育,http://192.168.2.1:6777/udp/239.11.0.100:1025
山东教育,http://192.168.2.1:6777/udp/239.10.0.176:1025
财富天下,http://192.168.2.1:6777/udp/239.10.0.177:1025
中国交通,http://192.168.2.1:6777/udp/239.10.0.72:1025
快乐垂钓,http://192.168.2.1:6777/udp/239.11.0.131:1025
茶频道,http://192.168.2.1:6777/udp/239.11.0.130:1025
咪咕-赛事1,http://192.168.2.1:6777/udp/239.10.0.87:1025
咪咕-赛事2,http://192.168.2.1:6777/udp/239.10.0.88:1025
咪咕-赛事3,http://192.168.2.1:6777/udp/239.10.0.89:1025
咪咕-赛事4,http://192.168.2.1:6777/udp/239.10.0.247:1025
咪咕-赛事5,http://192.168.2.1:6777/udp/239.10.0.248:1025
咪咕-赛事6,http://192.168.2.1:6777/udp/239.10.0.249:1025
咪咕-赛事7,http://192.168.2.1:6777/udp/239.10.0.250:1025
咪咕-赛事8,http://192.168.2.1:6777/udp/239.10.0.251:1025
咪咕-赛事9,http://192.168.2.1:6777/udp/239.10.0.252:1025
咪咕-赛事10,http://192.168.2.1:6777/udp/239.11.0.1:1025
咪咕-赛事11,http://192.168.2.1:6777/udp/239.11.0.2:1025
咪咕-赛事12,http://192.168.2.1:6777/udp/239.11.0.3:1025
咪咕-赛事13,http://192.168.2.1:6777/udp/239.11.0.4:1025
咪咕-赛事14,http://192.168.2.1:6777/udp/239.11.0.5:1025
咪咕-赛事15,http://192.168.2.1:6777/udp/239.11.0.6:1025
咪咕-赛事16,http://192.168.2.1:6777/udp/239.11.0.7:1025
咪咕-赛事17,http://192.168.2.1:6777/udp/239.11.0.8:1025
咪咕-赛事18,http://192.168.2.1:6777/udp/239.11.0.9:1025
咪咕-赛事19,http://192.168.2.1:6777/udp/239.11.0.10:1025
咪咕-赛事20,http://192.168.2.1:6777/udp/239.11.0.11:1025
咪咕-赛事21,http://192.168.2.1:6777/udp/239.11.0.12:1025
咪咕-赛事22,http://192.168.2.1:6777/udp/239.11.0.13:1025
咪咕-赛事23,http://192.168.2.1:6777/udp/239.11.0.14:1025
咪咕-赛事24,http://192.168.2.1:6777/udp/239.11.0.18:1025
咪咕-赛事25,http://192.168.2.1:6777/udp/239.11.0.19:1025
咪咕-赛事26,http://192.168.2.1:6777/udp/239.11.0.20:1025
咪咕-赛事27,http://192.168.2.1:6777/udp/239.11.0.21:1025
咪咕-赛事28,http://192.168.2.1:6777/udp/239.11.0.22:1025
咪咕五大联赛4K-1,http://192.168.2.1:6777/udp/239.10.0.68:1025
咪咕五大联赛4k-2,http://192.168.2.1:6777/udp/239.10.0.69:1025
百视通直播室101,http://192.168.2.1:6777/udp/239.10.0.90:1025
百视通直播室102,http://192.168.2.1:6777/udp/239.10.0.91:1025
百视通直播室103,http://192.168.2.1:6777/udp/239.10.0.92:1025
百视通直播室104,http://192.168.2.1:6777/udp/239.10.0.93:1025
百视通直播室105,http://192.168.2.1:6777/udp/239.10.0.94:1025
百视通直播室106,http://192.168.2.1:6777/udp/239.10.0.95:1025
百视通直播室107,http://192.168.2.1:6777/udp/239.10.0.96:1025
IPTV谍战剧场,http://192.168.2.1:6777/udp/239.10.0.8:1025
IPTV相声小品,http://192.168.2.1:6777/udp/239.10.0.9:1025
IPTV野外,http://192.168.2.1:6777/udp/239.10.0.10:1025
IPTV法治,http://192.168.2.1:6777/udp/239.10.0.11:1025
爱电影,http://192.168.2.1:6777/udp/239.10.0.12:1025
经典电影,http://192.168.2.1:6777/udp/239.10.0.13:1025
爱大剧,http://192.168.2.1:6777/udp/239.10.0.14:1025
热播剧场,http://192.168.2.1:6777/udp/239.10.0.15:1025
爱综艺,http://192.168.2.1:6777/udp/239.10.0.16:1025
爱体育,http://192.168.2.1:6777/udp/239.10.0.17:1025
少儿动画,http://192.168.2.1:6777/udp/239.10.0.18:1025
魅力时尚,http://192.168.2.1:6777/udp/239.10.0.19:1025
收视指南,http://192.168.2.1:6777/udp/239.10.0.20:1025
汽摩,http://192.168.2.1:6777/udp/239.10.0.232:1025
书画,http://192.168.2.1:6777/udp/239.11.0.174:1025
老故事,http://192.168.2.1:6777/udp/239.10.0.33:1025
中学生,http://192.168.2.1:6777/udp/239.11.0.173:1025
环球奇观,http://192.168.2.1:6777/udp/239.10.0.36:1025
国学频道,http://192.168.2.1:6777/udp/239.10.0.38:1025
发现之旅,http://192.168.2.1:6777/udp/239.11.0.182:1025
VSPN电竞,http://192.168.2.1:6777/udp/239.10.0.84:1025

央视回放,#genre#
CCTV1 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1 5M1080HEVC,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV3 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+ 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10 5M1080HEVC,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV11 5M1080HEVC,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12 5M1080HEVC,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV13 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV13 5M1080HEVC,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8
CCTV14 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14 5M1080HEVC,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV15 5M1080HEVC,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV1 720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226514/index.m3u8
CCTV2 720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV4 720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV11 720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV15 720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CGTN 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN纪录 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225602/index.m3u8
CGTN俄语 4M576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226543/index.m3u8
CGTN法语 4M576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226520/index.m3u8
CGTN西语 4M576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226431/index.m3u8
CGTN阿语 4M576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226517/index.m3u8
中国教育1 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
中国教育2 4M576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
中国教育4 4M576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8

卫视回放,#genre#
东南卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东方卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
吉林卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
四川卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
广东卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
辽宁卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
江苏卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
深圳卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
深圳卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
湖北卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖南卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
贵州卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
重庆卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
黑龙江卫视 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226585/index.m3u8
黑龙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226582/index.m3u8
黑龙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226532/index.m3u8
黑龙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8
黑龙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226525/index.m3u8
黑龙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226467/index.m3u8
黑龙江卫视 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
东南卫视 720,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
东南卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8
东方卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8
云南卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
内蒙古卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
内蒙古卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
北京卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226251/index.m3u8
吉林卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226386/index.m3u8
四川卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226513/index.m3u8
天津卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
宁夏卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
宁夏卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
安徽卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8
山东卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226507/index.m3u8
山西卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
山西卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
广东卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226374/index.m3u8
广西卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
新疆卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
江苏卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226495/index.m3u8
江西卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226504/index.m3u8
河北卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8
河北卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226448/index.m3u8
河南卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226320/index.m3u8
浙江卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226342/index.m3u8
海南卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
海南卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
深圳卫视 576,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226510/index.m3u8
